Sexo;Grupos de edad;Hábitat de procedencia;Valor absoluto y porcentaje;periodo;Total
Ambos sexos;De 40 a 49;Urbano (procedencia);Porcentaje;2017;13,6
Ambos sexos;De 40 a 49;Urbano (procedencia);Porcentaje;2016;15,9
Ambos sexos;De 40 a 49;Urbano (procedencia);Porcentaje;2015;13,0
Ambos sexos;De 40 a 49;Urbano (procedencia);Porcentaje;2014;10,4
Ambos sexos;De 40 a 49;Urbano (procedencia);Porcentaje;2013;11,9
Ambos sexos;De 40 a 49;Urbano (procedencia);Porcentaje;2012;10,9
Ambos sexos;De 40 a 49;Urbano (procedencia);Porcentaje;2011;11,5
Ambos sexos;De 40 a 49;Urbano (procedencia);Porcentaje;2010;13,5
Ambos sexos;De 40 a 49;Urbano (procedencia);Porcentaje;2009;13,3
Ambos sexos;De 40 a 49;Urbano (procedencia);Porcentaje;2008;10,7
Ambos sexos;De 40 a 49;Urbano (procedencia);Porcentaje;2007;10,0
Ambos sexos;De 40 a 49;Urbano (procedencia);Porcentaje;2006;8,9
Ambos sexos;De 40 a 49;Extranjero (procedencia);Valor absoluto;2020;15,5
Ambos sexos;De 40 a 49;Extranjero (procedencia);Valor absoluto;2019;14,9
Ambos sexos;De 40 a 49;Extranjero (procedencia);Valor absoluto;2018;13,2
Ambos sexos;De 40 a 49;Extranjero (procedencia);Valor absoluto;2017;8,8
Ambos sexos;De 40 a 49;Extranjero (procedencia);Valor absoluto;2016;10,9
Ambos sexos;De 40 a 49;Extranjero (procedencia);Valor absoluto;2015;11,6
Ambos sexos;De 40 a 49;Extranjero (procedencia);Valor absoluto;2014;5,0
Ambos sexos;De 40 a 49;Extranjero (procedencia);Valor absoluto;2013;13,3
Ambos sexos;De 40 a 49;Extranjero (procedencia);Valor absoluto;2012;8,3
Ambos sexos;De 40 a 49;Extranjero (procedencia);Valor absoluto;2011;9,8
Ambos sexos;De 40 a 49;Extranjero (procedencia);Valor absoluto;2010;5,9
Ambos sexos;De 40 a 49;Extranjero (procedencia);Valor absoluto;2009;17,7
Ambos sexos;De 40 a 49;Extranjero (procedencia);Valor absoluto;2008;19,1
Ambos sexos;De 40 a 49;Extranjero (procedencia);Valor absoluto;2007;10,8
Ambos sexos;De 40 a 49;Extranjero (procedencia);Valor absoluto;2006;18,6
Ambos sexos;De 40 a 49;Extranjero (procedencia);Porcentaje;2020;11,4
Ambos sexos;De 40 a 49;Extranjero (procedencia);Porcentaje;2019;11,1
Ambos sexos;De 40 a 49;Extranjero (procedencia);Porcentaje;2018;8,9
Ambos sexos;De 40 a 49;Extranjero (procedencia);Porcentaje;2017;6,8
Ambos sexos;De 40 a 49;Extranjero (procedencia);Porcentaje;2016;9,2
Ambos sexos;De 40 a 49;Extranjero (procedencia);Porcentaje;2015;11,3
Ambos sexos;De 40 a 49;Extranjero (procedencia);Porcentaje;2014;8,1
Ambos sexos;De 40 a 49;Extranjero (procedencia);Porcentaje;2013;18,4
Ambos sexos;De 40 a 49;Extranjero (procedencia);Porcentaje;2012;10,8
Ambos sexos;De 40 a 49;Extranjero (procedencia);Porcentaje;2011;10,0
Ambos sexos;De 40 a 49;Extranjero (procedencia);Porcentaje;2010;6,7
Ambos sexos;De 40 a 49;Extranjero (procedencia);Porcentaje;2009;12,2
Ambos sexos;De 40 a 49;Extranjero (procedencia);Porcentaje;2008;9,0
Ambos sexos;De 40 a 49;Extranjero (procedencia);Porcentaje;2007;5,0
Ambos sexos;De 40 a 49;Extranjero (procedencia);Porcentaje;2006;7,4
Ambos sexos;De 50 a 64;Total (procedencia);Valor absoluto;2020;28,7
Ambos sexos;De 50 a 64;Total (procedencia);Valor absoluto;2019;30,4
Ambos sexos;De 50 a 64;Total (procedencia);Valor absoluto;2018;45,2
Ambos sexos;De 50 a 64;Total (procedencia);Valor absoluto;2017;30,0
Ambos sexos;De 50 a 64;Total (procedencia);Valor absoluto;2016;35,8
Ambos sexos;De 50 a 64;Total (procedencia);Valor absoluto;2015;38,6
Ambos sexos;De 50 a 64;Total (procedencia);Valor absoluto;2014;29,0
Ambos sexos;De 50 a 64;Total (procedencia);Valor absoluto;2013;29,4
Ambos sexos;De 50 a 64;Total (procedencia);Valor absoluto;2012;24,9
Ambos sexos;De 50 a 64;Total (procedencia);Valor absoluto;2011;28,1
Ambos sexos;De 50 a 64;Total (procedencia);Valor absoluto;2010;31,1
Ambos sexos;De 50 a 64;Total (procedencia);Valor absoluto;2009;27,6
Ambos sexos;De 50 a 64;Total (procedencia);Valor absoluto;2008;35,4
Ambos sexos;De 50 a 64;Total (procedencia);Valor absoluto;2007;37,2
Ambos sexos;De 50 a 64;Total (procedencia);Valor absoluto;2006;37,0
Ambos sexos;De 50 a 64;Total (procedencia);Porcentaje;2020;7,8
Ambos sexos;De 50 a 64;Total (procedencia);Porcentaje;2019;6,9
Ambos sexos;De 50 a 64;Total (procedencia);Porcentaje;2018;9,3
Ambos sexos;De 50 a 64;Total (procedencia);Porcentaje;2017;7,3
Ambos sexos;De 50 a 64;Total (procedencia);Porcentaje;2016;7,8
Ambos sexos;De 50 a 64;Total (procedencia);Porcentaje;2015;8,9
Ambos sexos;De 50 a 64;Total (procedencia);Porcentaje;2014;7,2
Ambos sexos;De 50 a 64;Total (procedencia);Porcentaje;2013;8,2
Ambos sexos;De 50 a 64;Total (procedencia);Porcentaje;2012;5,5
Ambos sexos;De 50 a 64;Total (procedencia);Porcentaje;2011;6,0
Ambos sexos;De 50 a 64;Total (procedencia);Porcentaje;2010;6,6
Ambos sexos;De 50 a 64;Total (procedencia);Porcentaje;2009;5,1
Ambos sexos;De 50 a 64;Total (procedencia);Porcentaje;2008;5,8
Ambos sexos;De 50 a 64;Total (procedencia);Porcentaje;2007;4,8
Ambos sexos;De 50 a 64;Total (procedencia);Porcentaje;2006;4,6
Ambos sexos;De 50 a 64;Rural (procedencia);Valor absoluto;2020;4,9
Ambos sexos;De 50 a 64;Rural (procedencia);Valor absoluto;2019;6,2
Ambos sexos;De 50 a 64;Rural (procedencia);Valor absoluto;2018;9,4
Ambos sexos;De 50 a 64;Rural (procedencia);Valor absoluto;2017;4,4
Ambos sexos;De 50 a 64;Rural (procedencia);Valor absoluto;2016;8,4
Ambos sexos;De 50 a 64;Rural (procedencia);Valor absoluto;2015;7,0
Ambos sexos;De 50 a 64;Rural (procedencia);Valor absoluto;2014;4,4
Ambos sexos;De 50 a 64;Rural (procedencia);Valor absoluto;2013;8,5
Ambos sexos;De 50 a 64;Rural (procedencia);Valor absoluto;2012;5,1
Ambos sexos;De 50 a 64;Rural (procedencia);Valor absoluto;2011;4,9
Ambos sexos;De 50 a 64;Rural (procedencia);Valor absoluto;2010;4,1
Ambos sexos;De 50 a 64;Rural (procedencia);Valor absoluto;2009;4,9
Ambos sexos;De 50 a 64;Rural (procedencia);Valor absoluto;2008;9,4
Ambos sexos;De 50 a 64;Rural (procedencia);Valor absoluto;2007;8,1
Ambos sexos;De 50 a 64;Rural (procedencia);Valor absoluto;2006;8,7
Ambos sexos;De 50 a 64;Rural (procedencia);Porcentaje;2020;11,5
Ambos sexos;De 50 a 64;Rural (procedencia);Porcentaje;2019;11,6
Ambos sexos;De 50 a 64;Rural (procedencia);Porcentaje;2018;12,0
Ambos sexos;De 50 a 64;Rural (procedencia);Porcentaje;2017;10,0
Ambos sexos;De 50 a 64;Rural (procedencia);Porcentaje;2016;13,2
Ambos sexos;De 50 a 64;Rural (procedencia);Porcentaje;2015;8,2
Ambos sexos;De 50 a 64;Rural (procedencia);Porcentaje;2014;7,5
Ambos sexos;De 50 a 64;Rural (procedencia);Porcentaje;2013;15,3
Ambos sexos;De 50 a 64;Rural (procedencia);Porcentaje;2012;7,8
Ambos sexos;De 50 a 64;Rural (procedencia);Porcentaje;2011;5,6
Ambos sexos;De 50 a 64;Rural (procedencia);Porcentaje;2010;4,8
Ambos sexos;De 50 a 64;Rural (procedencia);Porcentaje;2009;6,8
Ambos sexos;De 50 a 64;Rural (procedencia);Porcentaje;2008;11,3
Ambos sexos;De 50 a 64;Rural (procedencia);Porcentaje;2007;5,8
Ambos sexos;De 50 a 64;Rural (procedencia);Porcentaje;2006;7,4
Ambos sexos;De 50 a 64;Urbano (procedencia);Valor absoluto;2020;14,4
Ambos sexos;De 50 a 64;Urbano (procedencia);Valor absoluto;2019;14,9
Ambos sexos;De 50 a 64;Urbano (procedencia);Valor absoluto;2018;28,4
Ambos sexos;De 50 a 64;Urbano (procedencia);Valor absoluto;2017;14,3
Ambos sexos;De 50 a 64;Urbano (procedencia);Valor absoluto;2016;19,0
Ambos sexos;De 50 a 64;Urbano (procedencia);Valor absoluto;2015;25,5
Ambos sexos;De 50 a 64;Urbano (procedencia);Valor absoluto;2014;21,3
Ambos sexos;De 50 a 64;Urbano (procedencia);Valor absoluto;2013;15,4
Ambos sexos;De 50 a 64;Urbano (procedencia);Valor absoluto;2012;15,7
Ambos sexos;De 50 a 64;Urbano (procedencia);Valor absoluto;2011;15,4
Ambos sexos;De 50 a 64;Urbano (procedencia);Valor absoluto;2010;21,1
Ambos sexos;De 50 a 64;Urbano (procedencia);Valor absoluto;2009;16,0
Ambos sexos;De 50 a 64;Urbano (procedencia);Valor absoluto;2008;16,0
Ambos sexos;De 50 a 64;Urbano (procedencia);Valor absoluto;2007;20,7
Ambos sexos;De 50 a 64;Urbano (procedencia);Valor absoluto;2006;18,4
Ambos sexos;De 50 a 64;Urbano (procedencia);Porcentaje;2020;7,7
Ambos sexos;De 50 a 64;Urbano (procedencia);Porcentaje;2019;5,9
Ambos sexos;De 50 a 64;Urbano (procedencia);Porcentaje;2018;10,9
Ambos sexos;De 50 a 64;Urbano (procedencia);Porcentaje;2017;6,0
Ambos sexos;De 50 a 64;Urbano (procedencia);Porcentaje;2016;6,9
Ambos sexos;De 50 a 64;Urbano (procedencia);Porcentaje;2015;10,4
Ambos sexos;De 50 a 64;Urbano (procedencia);Porcentaje;2014;7,5
Ambos sexos;De 50 a 64;Urbano (procedencia);Porcentaje;2013;6,7
Ambos sexos;De 50 a 64;Urbano (procedencia);Porcentaje;2012;5,1
Ambos sexos;De 50 a 64;Urbano (procedencia);Porcentaje;2011;5,4
Ambos sexos;De 50 a 64;Urbano (procedencia);Porcentaje;2010;7,0
Ambos sexos;De 50 a 64;Urbano (procedencia);Porcentaje;2009;5,0
Ambos sexos;De 50 a 64;Urbano (procedencia);Porcentaje;2008;5,1
Ambos sexos;De 50 a 64;Urbano (procedencia);Porcentaje;2007;4,9
Ambos sexos;De 50 a 64;Urbano (procedencia);Porcentaje;2006;4,2
Ambos sexos;De 50 a 64;Extranjero (procedencia);Valor absoluto;2020;9,4
Ambos sexos;De 50 a 64;Extranjero (procedencia);Valor absoluto;2019;9,3
Ambos sexos;De 50 a 64;Extranjero (procedencia);Valor absoluto;2018;7,4
Ambos sexos;De 50 a 64;Extranjero (procedencia);Valor absoluto;2017;11,3
Ambos sexos;De 50 a 64;Extranjero (procedencia);Valor absoluto;2016;8,3
Ambos sexos;De 50 a 64;Extranjero (procedencia);Valor absoluto;2015;6,2
Ambos sexos;De 50 a 64;Extranjero (procedencia);Valor absoluto;2014;3,3
Ambos sexos;De 50 a 64;Extranjero (procedencia);Valor absoluto;2013;5,5
Ambos sexos;De 50 a 64;Extranjero (procedencia);Valor absoluto;2012;4,1
Ambos sexos;De 50 a 64;Extranjero (procedencia);Valor absoluto;2011;7,7
Ambos sexos;De 50 a 64;Extranjero (procedencia);Valor absoluto;2010;6,0
Ambos sexos;De 50 a 64;Extranjero (procedencia);Valor absoluto;2009;6,7
Ambos sexos;De 50 a 64;Extranjero (procedencia);Valor absoluto;2008;10,1
Ambos sexos;De 50 a 64;Extranjero (procedencia);Valor absoluto;2007;8,4
Ambos sexos;De 50 a 64;Extranjero (procedencia);Valor absoluto;2006;9,9
Ambos sexos;De 50 a 64;Extranjero (procedencia);Porcentaje;2020;6,9
Ambos sexos;De 50 a 64;Extranjero (procedencia);Porcentaje;2019;7,0
Ambos sexos;De 50 a 64;Extranjero (procedencia);Porcentaje;2018;5,0
Ambos sexos;De 50 a 64;Extranjero (procedencia);Porcentaje;2017;8,8
Ambos sexos;De 50 a 64;Extranjero (procedencia);Porcentaje;2016;7,0
Ambos sexos;De 50 a 64;Extranjero (procedencia);Porcentaje;2015;6,0
Ambos sexos;De 50 a 64;Extranjero (procedencia);Porcentaje;2014;5,4
Ambos sexos;De 50 a 64;Extranjero (procedencia);Porcentaje;2013;7,6
Ambos sexos;De 50 a 64;Extranjero (procedencia);Porcentaje;2012;5,3
Ambos sexos;De 50 a 64;Extranjero (procedencia);Porcentaje;2011;7,8
Ambos sexos;De 50 a 64;Extranjero (procedencia);Porcentaje;2010;6,8
Ambos sexos;De 50 a 64;Extranjero (procedencia);Porcentaje;2009;4,6
Ambos sexos;De 50 a 64;Extranjero (procedencia);Porcentaje;2008;4,8
Ambos sexos;De 50 a 64;Extranjero (procedencia);Porcentaje;2007;3,9
Ambos sexos;De 50 a 64;Extranjero (procedencia);Porcentaje;2006;3,9
Ambos sexos;De 65 y más;Total (procedencia);Valor absoluto;2020;25,3
Ambos sexos;De 65 y más;Total (procedencia);Valor absoluto;2019;13,1
Ambos sexos;De 65 y más;Total (procedencia);Valor absoluto;2018;28,2
Ambos sexos;De 65 y más;Total (procedencia);Valor absoluto;2017;15,1
Ambos sexos;De 65 y más;Total (procedencia);Valor absoluto;2016;23,7
Ambos sexos;De 65 y más;Total (procedencia);Valor absoluto;2015;18,9
Ambos sexos;De 65 y más;Total (procedencia);Valor absoluto;2014;15,5
Ambos sexos;De 65 y más;Total (procedencia);Valor absoluto;2013;21,4
Ambos sexos;De 65 y más;Total (procedencia);Valor absoluto;2012;22,4
Ambos sexos;De 65 y más;Total (procedencia);Valor absoluto;2011;19,3
Ambos sexos;De 65 y más;Total (procedencia);Valor absoluto;2010;20,1
Ambos sexos;De 65 y más;Total (procedencia);Valor absoluto;2009;24,5
Ambos sexos;De 65 y más;Total (procedencia);Valor absoluto;2008;27,2
Ambos sexos;De 65 y más;Total (procedencia);Valor absoluto;2007;37,5
Ambos sexos;De 65 y más;Total (procedencia);Valor absoluto;2006;38,8
Ambos sexos;De 65 y más;Total (procedencia);Porcentaje;2020;6,9
Ambos sexos;De 65 y más;Total (procedencia);Porcentaje;2019;3,0
Ambos sexos;De 65 y más;Total (procedencia);Porcentaje;2018;5,8
Ambos sexos;De 65 y más;Total (procedencia);Porcentaje;2017;3,6
Ambos sexos;De 65 y más;Total (procedencia);Porcentaje;2016;5,2
Ambos sexos;De 65 y más;Total (procedencia);Porcentaje;2015;4,4
Ambos sexos;De 65 y más;Total (procedencia);Porcentaje;2014;3,8
Ambos sexos;De 65 y más;Total (procedencia);Porcentaje;2013;6,0
Ambos sexos;De 65 y más;Total (procedencia);Porcentaje;2012;4,9
Ambos sexos;De 65 y más;Total (procedencia);Porcentaje;2011;4,1
Ambos sexos;De 65 y más;Total (procedencia);Porcentaje;2010;4,2
Ambos sexos;De 65 y más;Total (procedencia);Porcentaje;2009;4,6
Ambos sexos;De 65 y más;Total (procedencia);Porcentaje;2008;4,5
Ambos sexos;De 65 y más;Total (procedencia);Porcentaje;2007;4,8
Ambos sexos;De 65 y más;Total (procedencia);Porcentaje;2006;4,8
Ambos sexos;De 65 y más;Rural (procedencia);Valor absoluto;2020;4,5
Ambos sexos;De 65 y más;Rural (procedencia);Valor absoluto;2019;2,9
Ambos sexos;De 65 y más;Rural (procedencia);Valor absoluto;2018;5,1
Ambos sexos;De 65 y más;Rural (procedencia);Valor absoluto;2017;3,1
Ambos sexos;De 65 y más;Rural (procedencia);Valor absoluto;2016;2,5
Ambos sexos;De 65 y más;Rural (procedencia);Valor absoluto;2015;7,4
Ambos sexos;De 65 y más;Rural (procedencia);Valor absoluto;2014;3,7
Ambos sexos;De 65 y más;Rural (procedencia);Valor absoluto;2013;6,3
Ambos sexos;De 65 y más;Rural (procedencia);Valor absoluto;2012;7,1
Ambos sexos;De 65 y más;Rural (procedencia);Valor absoluto;2011;4,1
Ambos sexos;De 65 y más;Rural (procedencia);Valor absoluto;2010;5,2
Ambos sexos;De 65 y más;Rural (procedencia);Valor absoluto;2009;7,4
Ambos sexos;De 65 y más;Rural (procedencia);Valor absoluto;2008;7,1
Ambos sexos;De 65 y más;Rural (procedencia);Valor absoluto;2007;9,8
Ambos sexos;De 65 y más;Rural (procedencia);Valor absoluto;2006;9,2
Ambos sexos;De 65 y más;Rural (procedencia);Porcentaje;2020;10,7
Ambos sexos;De 65 y más;Rural (procedencia);Porcentaje;2019;5,4
Ambos sexos;De 65 y más;Rural (procedencia);Porcentaje;2018;6,6
Ambos sexos;De 65 y más;Rural (procedencia);Porcentaje;2017;7,0
Ambos sexos;De 65 y más;Rural (procedencia);Porcentaje;2016;3,9
Ambos sexos;De 65 y más;Rural (procedencia);Porcentaje;2015;8,7
Ambos sexos;De 65 y más;Rural (procedencia);Porcentaje;2014;6,2
Ambos sexos;De 65 y más;Rural (procedencia);Porcentaje;2013;11,2
Ambos sexos;De 65 y más;Rural (procedencia);Porcentaje;2012;10,9
Ambos sexos;De 65 y más;Rural (procedencia);Porcentaje;2011;4,7
Ambos sexos;De 65 y más;Rural (procedencia);Porcentaje;2010;6,1
Ambos sexos;De 65 y más;Rural (procedencia);Porcentaje;2009;10,3
Ambos sexos;De 65 y más;Rural (procedencia);Porcentaje;2008;8,6
Ambos sexos;De 65 y más;Rural (procedencia);Porcentaje;2007;7,0
Ambos sexos;De 65 y más;Rural (procedencia);Porcentaje;2006;7,8
Ambos sexos;De 65 y más;Urbano (procedencia);Valor absoluto;2020;9,7
Ambos sexos;De 65 y más;Urbano (procedencia);Valor absoluto;2019;9,3
Ambos sexos;De 65 y más;Urbano (procedencia);Valor absoluto;2018;16,1
Ambos sexos;De 65 y más;Urbano (procedencia);Valor absoluto;2017;8,3
Ambos sexos;De 65 y más;Urbano (procedencia);Valor absoluto;2016;16,8
Ambos sexos;De 65 y más;Urbano (procedencia);Valor absoluto;2015;9,5
Ambos sexos;De 65 y más;Urbano (procedencia);Valor absoluto;2014;11,7
Ambos sexos;De 65 y más;Urbano (procedencia);Valor absoluto;2013;13,3
Ambos sexos;De 65 y más;Urbano (procedencia);Valor absoluto;2012;14,6
Ambos sexos;De 65 y más;Urbano (procedencia);Valor absoluto;2011;10,3
Ambos sexos;De 65 y más;Urbano (procedencia);Valor absoluto;2010;11,5
Ambos sexos;De 65 y más;Urbano (procedencia);Valor absoluto;2009;9,8
Ambos sexos;De 65 y más;Urbano (procedencia);Valor absoluto;2008;14,0
Ambos sexos;De 65 y más;Urbano (procedencia);Valor absoluto;2007;19,0
Ambos sexos;De 65 y más;Urbano (procedencia);Valor absoluto;2006;20,5
Ambos sexos;De 65 y más;Urbano (procedencia);Porcentaje;2020;5,2
Ambos sexos;De 65 y más;Urbano (procedencia);Porcentaje;2019;3,7
Ambos sexos;De 65 y más;Urbano (procedencia);Porcentaje;2018;6,2
Ambos sexos;De 65 y más;Urbano (procedencia);Porcentaje;2017;3,5
Ambos sexos;De 65 y más;Urbano (procedencia);Porcentaje;2016;6,1
Ambos sexos;De 65 y más;Urbano (procedencia);Porcentaje;2015;3,9
Ambos sexos;De 65 y más;Urbano (procedencia);Porcentaje;2014;4,1
Ambos sexos;De 65 y más;Urbano (procedencia);Porcentaje;2013;5,8
Ambos sexos;De 65 y más;Urbano (procedencia);Porcentaje;2012;4,7
Ambos sexos;De 65 y más;Urbano (procedencia);Porcentaje;2011;3,6
Ambos sexos;De 65 y más;Urbano (procedencia);Porcentaje;2010;3,8
Ambos sexos;De 65 y más;Urbano (procedencia);Porcentaje;2009;3,0
Ambos sexos;De 65 y más;Urbano (procedencia);Porcentaje;2008;4,5
Ambos sexos;De 65 y más;Urbano (procedencia);Porcentaje;2007;4,5
Ambos sexos;De 65 y más;Urbano (procedencia);Porcentaje;2006;4,7
Ambos sexos;De 65 y más;Extranjero (procedencia);Valor absoluto;2020;11,0
Ambos sexos;De 65 y más;Extranjero (procedencia);Valor absoluto;2019;0,9
Ambos sexos;De 65 y más;Extranjero (procedencia);Valor absoluto;2018;7,0
Ambos sexos;De 65 y más;Extranjero (procedencia);Valor absoluto;2017;3,6
Ambos sexos;De 65 y más;Extranjero (procedencia);Valor absoluto;2016;4,4
Ambos sexos;De 65 y más;Extranjero (procedencia);Valor absoluto;2015;2,1
Ambos sexos;De 65 y más;Extranjero (procedencia);Valor absoluto;2014;0,1
Ambos sexos;De 65 y más;Extranjero (procedencia);Valor absoluto;2013;1,8
Ambos sexos;De 65 y más;Extranjero (procedencia);Valor absoluto;2012;0,6
Ambos sexos;De 65 y más;Extranjero (procedencia);Valor absoluto;2011;4,9
Ambos sexos;De 65 y más;Extranjero (procedencia);Valor absoluto;2010;3,4
Ambos sexos;De 65 y más;Extranjero (procedencia);Valor absoluto;2009;7,3
Ambos sexos;De 65 y más;Extranjero (procedencia);Valor absoluto;2008;6,1
Ambos sexos;De 65 y más;Extranjero (procedencia);Valor absoluto;2007;8,7
Ambos sexos;De 65 y más;Extranjero (procedencia);Valor absoluto;2006;9,1
Ambos sexos;De 65 y más;Extranjero (procedencia);Porcentaje;2020;8,1
Ambos sexos;De 65 y más;Extranjero (procedencia);Porcentaje;2019;0,7
Ambos sexos;De 65 y más;Extranjero (procedencia);Porcentaje;2018;4,7
Ambos sexos;De 65 y más;Extranjero (procedencia);Porcentaje;2017;2,8
Ambos sexos;De 65 y más;Extranjero (procedencia);Porcentaje;2016;3,7
Ambos sexos;De 65 y más;Extranjero (procedencia);Porcentaje;2015;2,0
Ambos sexos;De 65 y más;Extranjero (procedencia);Porcentaje;2014;0,2
Ambos sexos;De 65 y más;Extranjero (procedencia);Porcentaje;2013;2,5
Ambos sexos;De 65 y más;Extranjero (procedencia);Porcentaje;2012;0,8
Ambos sexos;De 65 y más;Extranjero (procedencia);Porcentaje;2011;5,0
Ambos sexos;De 65 y más;Extranjero (procedencia);Porcentaje;2010;3,9
Ambos sexos;De 65 y más;Extranjero (procedencia);Porcentaje;2009;5,1
Ambos sexos;De 65 y más;Extranjero (procedencia);Porcentaje;2008;2,9
Ambos sexos;De 65 y más;Extranjero (procedencia);Porcentaje;2007;4,0
Ambos sexos;De 65 y más;Extranjero (procedencia);Porcentaje;2006;3,6
Varones;Total (edad);Total (procedencia);Valor absoluto;2020;183,6
Varones;Total (edad);Total (procedencia);Valor absoluto;2019;213,7
Varones;Total (edad);Total (procedencia);Valor absoluto;2018;230,0
Varones;Total (edad);Total (procedencia);Valor absoluto;2017;212,0
Varones;Total (edad);Total (procedencia);Valor absoluto;2016;218,6
Varones;Total (edad);Total (procedencia);Valor absoluto;2015;212,1
Varones;Total (edad);Total (procedencia);Valor absoluto;2014;218,9
Varones;Total (edad);Total (procedencia);Valor absoluto;2013;172,8
Varones;Total (edad);Total (procedencia);Valor absoluto;2012;222,5
Varones;Total (edad);Total (procedencia);Valor absoluto;2011;215,9
Varones;Total (edad);Total (procedencia);Valor absoluto;2010;234,4
Varones;Total (edad);Total (procedencia);Valor absoluto;2009;272,0
Varones;Total (edad);Total (procedencia);Valor absoluto;2008;292,4
Varones;Total (edad);Total (procedencia);Valor absoluto;2007;384,7
Varones;Total (edad);Total (procedencia);Valor absoluto;2006;382,4
Varones;Total (edad);Total (procedencia);Porcentaje;2020;100,0
Varones;Total (edad);Total (procedencia);Porcentaje;2019;100,0
Varones;Total (edad);Total (procedencia);Porcentaje;2018;100,0
Varones;Total (edad);Total (procedencia);Porcentaje;2017;100,0
Varones;Total (edad);Total (procedencia);Porcentaje;2016;100,0
Varones;Total (edad);Total (procedencia);Porcentaje;2015;100,0
Varones;Total (edad);Total (procedencia);Porcentaje;2014;100,0
Varones;Total (edad);Total (procedencia);Porcentaje;2013;100,0
Varones;Total (edad);Total (procedencia);Porcentaje;2012;100,0
Varones;Total (edad);Total (procedencia);Porcentaje;2011;100,0
Varones;Total (edad);Total (procedencia);Porcentaje;2010;100,0
Varones;Total (edad);Total (procedencia);Porcentaje;2009;100,0
Varones;Total (edad);Total (procedencia);Porcentaje;2008;100,0
Varones;Total (edad);Total (procedencia);Porcentaje;2007;100,0
Varones;Total (edad);Total (procedencia);Porcentaje;2006;100,0
Varones;Total (edad);Rural (procedencia);Valor absoluto;2020;23,5
Varones;Total (edad);Rural (procedencia);Valor absoluto;2019;22,9
Varones;Total (edad);Rural (procedencia);Valor absoluto;2018;39,8
Varones;Total (edad);Rural (procedencia);Valor absoluto;2017;23,1
Varones;Total (edad);Rural (procedencia);Valor absoluto;2016;32,5
Varones;Total (edad);Rural (procedencia);Valor absoluto;2015;42,3
Varones;Total (edad);Rural (procedencia);Valor absoluto;2014;34,1
Varones;Total (edad);Rural (procedencia);Valor absoluto;2013;33,0
Varones;Total (edad);Rural (procedencia);Valor absoluto;2012;30,3
Varones;Total (edad);Rural (procedencia);Valor absoluto;2011;40,7
Varones;Total (edad);Rural (procedencia);Valor absoluto;2010;41,5
Varones;Total (edad);Rural (procedencia);Valor absoluto;2009;39,4
Varones;Total (edad);Rural (procedencia);Valor absoluto;2008;41,4
Varones;Total (edad);Rural (procedencia);Valor absoluto;2007;71,1
Varones;Total (edad);Rural (procedencia);Valor absoluto;2006;56,3
Varones;Total (edad);Rural (procedencia);Porcentaje;2020;100,0
Varones;Total (edad);Rural (procedencia);Porcentaje;2019;100,0
Varones;Total (edad);Rural (procedencia);Porcentaje;2018;100,0
Varones;Total (edad);Rural (procedencia);Porcentaje;2017;100,0
Varones;Total (edad);Rural (procedencia);Porcentaje;2016;100,0
Varones;Total (edad);Rural (procedencia);Porcentaje;2015;100,0
Varones;Total (edad);Rural (procedencia);Porcentaje;2014;100,0
Varones;Total (edad);Rural (procedencia);Porcentaje;2013;100,0
Varones;Total (edad);Rural (procedencia);Porcentaje;2012;100,0
Varones;Total (edad);Rural (procedencia);Porcentaje;2011;100,0
Varones;Total (edad);Rural (procedencia);Porcentaje;2010;100,0
Varones;Total (edad);Rural (procedencia);Porcentaje;2009;100,0
Varones;Total (edad);Rural (procedencia);Porcentaje;2008;100,0
Varones;Total (edad);Rural (procedencia);Porcentaje;2007;100,0
Varones;Total (edad);Rural (procedencia);Porcentaje;2006;100,0
Varones;Total (edad);Urbano (procedencia);Valor absoluto;2020;90,7
Varones;Total (edad);Urbano (procedencia);Valor absoluto;2019;124,3
Varones;Total (edad);Urbano (procedencia);Valor absoluto;2018;129,7
Varones;Total (edad);Urbano (procedencia);Valor absoluto;2017;123,0
Varones;Total (edad);Urbano (procedencia);Valor absoluto;2016;131,7
Varones;Total (edad);Urbano (procedencia);Valor absoluto;2015;120,1
Varones;Total (edad);Urbano (procedencia);Valor absoluto;2014;151,0
Varones;Total (edad);Urbano (procedencia);Valor absoluto;2013;106,7
Varones;Total (edad);Urbano (procedencia);Valor absoluto;2012;147,6
Varones;Total (edad);Urbano (procedencia);Valor absoluto;2011;139,3
Varones;Total (edad);Urbano (procedencia);Valor absoluto;2010;153,4
Varones;Total (edad);Urbano (procedencia);Valor absoluto;2009;171,0
Varones;Total (edad);Urbano (procedencia);Valor absoluto;2008;161,6
Varones;Total (edad);Urbano (procedencia);Valor absoluto;2007;228,9
Varones;Total (edad);Urbano (procedencia);Valor absoluto;2006;222,6
Varones;Total (edad);Urbano (procedencia);Porcentaje;2020;100,0
Varones;Total (edad);Urbano (procedencia);Porcentaje;2019;100,0
Varones;Total (edad);Urbano (procedencia);Porcentaje;2018;100,0
Varones;Total (edad);Urbano (procedencia);Porcentaje;2017;100,0
Varones;Total (edad);Urbano (procedencia);Porcentaje;2016;100,0
Varones;Total (edad);Urbano (procedencia);Porcentaje;2015;100,0
Varones;Total (edad);Urbano (procedencia);Porcentaje;2014;100,0
